,LE,ET,LE/ET
2001-01-08,20.492737925252523,,
2001-01-15,14.19012643678161,,
2001-01-22,,,
2001-01-29,18.118106060606063,,
2001-02-05,,,
2001-02-12,26.28968181818182,,
2001-02-19,23.2160625,,
2001-02-26,23.957340579710145,,
2001-03-05,21.993739583333333,,
2001-03-12,27.052645833333333,,
2001-03-19,22.756260416666667,,
2001-03-26,35.94707638888889,,
2001-04-02,64.89954545454545,,
2001-04-09,55.299125,,
2001-04-16,,,
2001-04-23,55.9571875,,
2001-04-30,53.36059090909091,,
2001-05-07,,,
2001-05-14,88.47322916666667,,
2001-05-21,99.37,,
2001-05-28,,,
2001-06-04,60.030413043478255,,
2001-06-11,50.118526315789474,,
2001-06-18,70.62621666666666,102.79186652588693,0.6870798152972568
2001-06-25,65.79297311827956,153.02191450633816,0.42995784839402473
2001-07-02,67.96743333333333,199.907109457239,0.3399950783034651
2001-07-09,97.2374375,92.9914651925255,1.0456598065067997
2001-07-16,75.18944444444445,89.11546303346367,0.8437306151482389
2001-07-23,80.88359139784947,151.7108453738674,0.533143106536152
2001-07-30,69.26445161290322,115.16152356579572,0.6014548042457085
2001-08-06,,,
2001-08-13,100.57984920634921,154.36900555114957,0.6515546877253314
2001-08-20,80.38352515723271,142.29170452753303,0.5649206707034614
2001-08-27,62.660722222222226,48.05169332332143,1.3040273482268823
2001-09-03,,,
2001-09-10,,,
2001-09-17,,,
2001-09-24,63.467013888888886,32.373182116359395,1.9604811680473202
2001-10-01,38.159739583333334,51.11740019996317,0.7465117442213117
2001-10-08,36.52044736842105,,
2001-10-15,35.93064444444444,,
2001-10-22,30.196404761904763,,
2001-10-29,21.87939285986111,,
2001-11-05,,,
2001-11-12,35.414766666666665,,
2001-11-19,32.35814583333333,,
2001-11-26,39.01112500000001,,
2001-12-03,17.169282051282053,,
2001-12-10,9.744155555555556,,
2001-12-17,,,
2001-12-24,,,
2001-12-31,17.15834444444444,2.2979679188745363,7.466746730236336
2002-01-07,14.757046296296295,1.0565523825271408,13.967169579419519
2002-01-14,,,
2002-01-21,,,
2002-01-28,23.3859375,21.19948298087301,1.1031371624062574
2002-02-04,,,
2002-02-11,,,
2002-02-18,,,
2002-02-25,,,
2002-03-04,13.407619047619047,9.37116259574382,1.4307316632952776
2002-03-11,33.388666666666666,50.088622336017075,0.6665918348218969
2002-03-18,24.201666666666668,29.512114859084836,0.8200587041025482
2002-03-25,23.70551515151515,57.3303802358967,0.41348958534679736
2002-04-01,25.615705673758864,,
2002-04-08,27.833717948717947,53.493982741383675,0.5203149311816972
2002-04-15,,,
2002-04-22,48.87068376068376,65.70431744741059,0.7437971454432901
2002-04-29,,,
2002-05-06,39.20801388888889,49.8650223560333,0.7862828900174956
2002-05-13,65.16476436781609,119.72496555007591,0.5442871841175049
2002-05-20,83.50212121212121,51.264042279641316,1.6288633806250337
2002-05-27,61.09371794871795,112.91363798496187,0.5410658892848229
2002-06-03,56.79166666666667,129.09060694733665,0.43993647570218025
2002-06-10,,,
2002-06-17,92.80604166666666,135.6534626242669,0.6841406026156585
2002-06-24,74.96342777777778,95.26945404009395,0.7868569053227656
2002-07-01,,,
2002-07-08,83.52427083333333,125.46998693520591,0.6656912371917771
2002-07-15,72.70275,102.71194055952633,0.7078315296541923
2002-07-22,85.81522222222223,193.6855445036913,0.4430646718737792
2002-07-29,81.39943333333332,206.39737670550244,0.3943821119852598
2002-08-05,78.84189583333334,95.2651775108936,0.8276045654175971
2002-08-12,74.47694326241134,161.6464254182476,0.4607398095547614
2002-08-19,52.49275,43.22818609600117,1.2143176649472196
2002-08-26,71.82015032679739,67.09859472619046,1.0703674290031588
2002-09-02,65.04203225806452,90.70437785236362,0.7170771003350157
2002-09-09,54.94899275362319,79.37495679701813,0.6922711516447395
2002-09-16,38.06685185185185,30.573328441496972,1.2451000199305735
2002-09-23,43.321000000000005,39.870806973774826,1.0865343164108656
2002-09-30,44.573,55.05928993724213,0.809545492700784
2002-10-07,22.416024999999998,21.279430909006454,1.0534128048749878
2002-10-14,,,
2002-10-21,,,
2002-10-28,18.071401515151514,7.965960165400105,2.268577941632708
2002-11-04,36.756541666666664,7.5376525973844934,4.876391050367709
2002-11-11,9.128638888888888,3.188307753224849,2.8631611486236315
2002-11-18,11.811770833333334,6.282786418060517,1.8800210682602838
2002-11-25,18.416903846153847,2.617134783360672,7.03704828778617
2002-12-02,17.485560606060606,1.8705693832223682,9.347720946837486
2002-12-09,3.7944290780141845,2.5164842009175348,1.507829485530129
2002-12-16,12.818433333333331,0.3807316648800386,33.667893993981764
2002-12-23,,,
2002-12-30,11.80452380952381,0.7476898247166733,15.78799579624742
2003-01-06,5.118811111111111,2.2255294088360453,2.3000419993498338
2003-01-13,27.87049275362319,5.918625669817641,4.708946689389449
2003-01-20,37.43472222222223,3.39062349755007,11.040660294270676
2003-01-27,12.494,1.375092577018999,9.085933710067126
2003-02-03,42.653999999999996,0.5529075639182159,77.14490230108196
2003-02-10,8.824453333333333,5.822720993947807,1.515520551732696
2003-02-17,6.608978395061729,22.932183819765875,0.28819664306742865
2003-02-24,11.1379,60.57810849171394,0.18386014811808588
2003-03-03,31.140722222222223,14.020396035084875,2.2211014684817143
2003-03-10,27.37571052631579,32.73199918465515,0.8363592572478614
2003-03-17,20.035894230769234,42.30525599036947,0.4736029545674013
2003-03-24,25.517248148148152,68.35564144079007,0.37330127565624993
2003-03-31,36.32115,36.4637383178851,0.9960895858608342
2003-04-07,19.145310537094016,60.804234342039024,0.314868047336915
