datetime,depth,depth_anom_all
2001-05-01,106.75999999999999,-85.02872620790632
2001-05-02,107.21333333333334,-84.57539287457297
2001-05-03,107.66666666666667,-84.12205954123964
2001-05-04,108.12,-83.6687262079063
2001-05-05,108.57333333333334,-83.21539287457297
2001-05-06,109.02666666666667,-82.76205954123964
2001-05-07,109.48,-82.3087262079063
2001-05-08,109.93333333333334,-81.85539287457297
2001-05-09,110.38666666666667,-81.40205954123964
2001-05-10,110.84,-80.9487262079063
2001-05-11,111.29333333333334,-80.49539287457297
2001-05-12,111.74666666666667,-80.04205954123964
2001-05-13,112.2,-79.5887262079063
2001-05-14,112.65333333333334,-79.13539287457297
2001-05-15,113.10666666666667,-78.68205954123964
2001-05-16,113.56,-78.2287262079063
2001-05-17,114.01333333333334,-77.77539287457297
2001-05-18,114.46666666666667,-77.32205954123964
2001-05-19,114.92,-76.8687262079063
2001-05-20,115.37333333333333,-76.41539287457297
2001-05-21,115.82666666666667,-75.96205954123964
2001-05-22,116.28,-75.5087262079063
2001-05-23,116.73333333333333,-75.05539287457297
2001-05-24,117.18666666666667,-74.60205954123964
2001-05-25,117.64,-74.14872620790631
2001-05-26,118.09333333333333,-73.69539287457297
2001-05-27,118.54666666666667,-73.24205954123964
2001-05-28,119.0,-72.78872620790631
2001-05-29,119.47058823529412,-72.31813797261219
2001-05-30,119.94117647058823,-71.84754973731808
2001-05-31,120.41176470588235,-71.37696150202396
2001-06-01,120.88235294117646,-70.90637326672984
2001-06-02,121.3529411764706,-70.43578503143571
2001-06-03,121.82352941176471,-69.9651967961416
2001-06-04,122.29411764705883,-69.49460856084748
2001-06-05,122.76470588235294,-69.02402032555337
2001-06-06,123.23529411764706,-68.55343209025925
2001-06-07,123.70588235294117,-68.08284385496513
2001-06-08,124.17647058823529,-67.61225561967102
2001-06-09,124.6470588235294,-67.1416673843769
2001-06-10,125.11764705882354,-66.67107914908277
2001-06-11,125.58823529411765,-66.20049091378866
2001-06-12,126.05882352941177,-65.72990267849454
2001-06-13,126.52941176470588,-65.25931444320042
2001-06-14,127.0,-64.78872620790631
2001-06-15,128.23076923076923,-63.55795697713708
2001-06-16,129.46153846153845,-62.327187746367855
2001-06-17,130.69230769230768,-61.09641851559863
2001-06-18,131.92307692307693,-59.865649284829374
2001-06-19,133.15384615384616,-58.63488005406015
2001-06-20,134.3846153846154,-57.40411082329092
2001-06-21,135.6153846153846,-56.173341592521695
2001-06-22,136.84615384615384,-54.94257236175247
2001-06-23,138.07692307692307,-53.71180313098324
2001-06-24,139.30769230769232,-52.48103390021399
2001-06-25,140.53846153846155,-51.25026466944476
2001-06-26,141.76923076923077,-50.019495438675534
2001-06-27,143.0,-48.78872620790631
2001-06-28,143.875,-47.91372620790631
2001-06-29,144.75,-47.03872620790631
2001-06-30,145.625,-46.16372620790631
2001-07-01,146.5,-45.28872620790631
2001-07-02,147.375,-44.41372620790631
2001-07-03,148.25,-43.53872620790631
2001-07-04,149.125,-42.66372620790631
2001-07-05,150.0,-41.78872620790631
